pos,corr_resp,key_resp.corr,key_resp.rt,,TRIALS,SEQ RT,RAN RT
-50,x,1,0.69867,,1,0.69867,0.7910547
150,v,1,0.6360184,,2,0.6360184,0.7146574
50,c,1,0.6924206,,3,0.6924206,0.5795621
-150,z,1,0.6645085,,4,0.6645085,0.9375323
-50,x,1,0.5258107,,5,0.5258107,0.6776823
150,v,1,0.5987642,,6,0.5987642,1.2652599
50,c,1,0.400547,,7,0.400547,0.6042804
-150,z,1,0.320898,,8,0.320898,0.5508727
-50,x,1,0.4914908,,9,0.4914908,0.6226347
150,v,1,0.3158833,,10,0.3158833,0.621497
50,c,1,0.681262,,11,0.681262,0.8446523
-150,z,1,0.3685722,,12,0.3685722,0.6434866
-50,x,1,0.3089583,,13,0.3089583,0.9957326
150,v,1,0.6482943,,14,0.6482943,0.5957265
50,c,1,0.5144221,,15,0.5144221,0.8446233
-150,z,1,0.3237802,,16,0.3237802,0.5922186
-50,x,1,0.4223849,,17,0.4223849,0.7279626
150,v,1,0.4200257,,18,0.4200257,0.8988535
50,c,1,0.6527752,,19,0.6527752,0.9674505
-150,z,1,0.6003669,,20,0.6003669,0.6413745
-50,x,1,0.6031217,,21,0.6031217,0.6907849
150,v,1,0.4200273,,22,0.4200273,0.6336763
50,c,1,0.4952087,,23,0.4952087,0.519645
-150,z,1,0.5324764,,24,0.5324764,0.8029614
-50,x,1,0.5315565,,25,0.5315565,0.7614059
150,v,1,0.4927542,,26,0.4927542,0.8945004
50,c,1,0.5634565,,27,0.5634565,0.6026296
-150,z,1,0.4387256,,28,0.4387256,0.6274798
-50,x,1,0.544486,,29,0.544486,0.6633917
150,v,1,0.3929089,,30,0.3929089,0.5344422
50,c,1,0.6425159,,31,0.6425159,0.5429131
-150,z,1,0.5936084,,32,0.5936084,0.4661242
-50,x,1,0.4434404,,33,0.4434404,0.4727558
150,v,1,0.4915854,,34,0.4915854,0.7590675
50,c,1,0.5447291,,35,0.5447291,0.4304898
-150,z,1,0.7172998,,36,0.7172998,0.4797254
-50,x,1,0.5981971,,37,0.5981971,0.5045043
150,v,1,0.5418143,,38,0.5418143,0.5230002
50,c,1,0.5883454,,39,0.5883454,0.7945418
-150,z,1,0.5582643,,40,0.5582643,0.3881169
-50,x,1,0.514973,,41,0.514973,0.5112123
150,v,1,0.4785359,,42,0.4785359,0.6128805
50,c,1,0.5297051,,43,0.5297051,0.437387
-150,z,1,0.5404169,,44,0.5404169,0.6694767
-50,x,1,0.4751279,,45,0.4751279,1.3077085
150,v,1,0.4314714,,46,0.4314714,0.5245588
50,c,1,0.7129016,,47,0.7129016,0.5498662
-150,z,1,0.6876773,,48,0.6876773,0.5228155
-50,x,1,0.7238377,,49,0.7238377,0.7528674
150,v,1,0.671014,,50,0.671014,0.4930914
50,c,1,0.4167248,,51,0.4167248,0.6410952
-150,z,1,0.6577136,,52,0.6577136,1.2194936
-50,x,1,0.3864267,,53,0.3864267,0.7835953
150,v,1,0.6194595,,54,0.6194595,0.619076
50,c,1,0.6696309,,55,0.6696309,0.6348048
-150,z,1,0.5492756,,56,0.5492756,0.5711676
-50,x,1,0.5570858,,57,0.5570858,0.9046192
150,v,1,0.6069553,,58,0.6069553,0.892389
50,c,1,0.7074531,,59,0.7074531,0.8397493
-150,z,1,0.6853985,,60,0.6853985,0.7569228
-50,x,1,0.8253678,,61,0.8253678,0.7010762
150,v,1,0.3852049,,62,0.3852049,0.5885071
50,c,1,0.5785424,,63,0.5785424,0.7332514
-150,z,1,0.6231131,,64,0.6231131,1.1838408
-50,x,1,0.8048136,,65,0.8048136,0.7467782
150,v,1,0.4253375,,66,0.4253375,0.3688201
50,c,1,0.368097,,67,0.368097,0.478663
-150,z,1,0.5167414,,68,0.5167414,0.4719626
-50,x,1,0.4318827,,69,0.4318827,0.6320595
150,v,1,0.4105162,,70,0.4105162,0.5281588
50,c,1,0.6713398,,71,0.6713398,1.1539581
-150,z,1,0.4958814,,72,0.4958814,0.6155312
-50,x,1,0.505377,,73,0.505377,0.7594965
150,v,1,0.6455414,,74,0.6455414,0.7984366
50,c,1,0.9575643,,75,0.9575643,0.6879554
-150,z,1,0.5842434,,76,0.5842434,0.7253699
-50,x,1,0.715456,,77,0.715456,0.4986603
150,v,1,0.5692886,,78,0.5692886,0.4841388
50,c,1,0.6291129,,79,0.6291129,0.504588
-150,z,1,0.5715153,,80,0.5715153,0.4707747
-50,x,1,0.6330191,,81,0.6330191,0.7339856
150,v,1,0.8308742,,82,0.8308742,0.9179589
50,c,1,0.921428,,83,0.921428,0.5266096
-150,z,1,0.6577339,,84,0.6577339,0.429057
-50,x,1,0.6309404,,85,0.6309404,0.5655931
150,v,1,0.672542,,86,0.672542,0.4892167
50,c,1,0.6124893,,87,0.6124893,0.4641419
-150,z,1,0.683248,,88,0.683248,0.7006144
-50,x,1,0.6991417,,89,0.6991417,0.54706
150,v,1,0.6089269,,90,0.6089269,0.6890825
50,c,1,0.6721816,,91,0.6721816,0.5615446
-150,z,1,0.7526639,,92,0.7526639,0.504581
-50,x,1,0.9648852,,93,0.9648852,0.8915258
150,v,1,0.5786336,,94,0.5786336,1.2155093
50,c,1,0.8586085,,95,0.8586085,0.6796546
-150,z,1,0.8224025,,96,0.8224025,0.4948021
-50,x,1,0.7910547,,,,
-150,z,1,0.7146574,,MEAN,0.582883493,0.677052209
150,v,1,0.5795621,,DIFFERENCE,0.094168717,
50,c,1,0.9375323,,,,
150,v,1,0.6776823,,,,
50,c,1,1.2652599,,,,
-150,z,1,0.6042804,,,,
-50,x,1,0.5508727,,,,
150,v,1,0.6226347,,,,
50,c,1,0.621497,,,,
-50,x,1,0.8446523,,,,
-150,z,1,0.6434866,,,,
50,c,1,0.9957326,,,,
150,v,1,0.5957265,,,,
50,c,1,0.8446233,,,,
-50,x,1,0.5922186,,,,
150,v,1,0.7279626,,,,
50,c,1,0.8988535,,,,
50,c,1,0.9674505,,,,
150,v,1,0.6413745,,,,
50,c,1,0.6907849,,,,
-50,x,1,0.6336763,,,,
150,v,1,0.519645,,,,
-150,z,1,0.8029614,,,,
-50,x,1,0.7614059,,,,
50,c,1,0.8945004,,,,
150,v,1,0.6026296,,,,
-50,x,1,0.6274798,,,,
-150,z,1,0.6633917,,,,
