key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,,,trials.thisRepN,trials.intensity,,,key_resp.corr,,trials.thisRepN,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,1,0,start,0.01,db,0.05,0.4307953,34.0733291,34.0733291,34.3817239,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,1,0.05,,,0,in,1,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,2,1,up,0.01,db,0.050057598,0.0010593,36.5133199,36.5133199,36.8129134,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,2,0.050057598,,,0,in,2,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,3,2,up,0.01,db,0.050115262,0.0019583,38.9608394,38.9608394,39.2605749,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,3,0.050115262,,,0,in,3,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,4,3,up,0.01,db,0.050172992,0.0012243,41.5253381,41.5253381,41.8248664,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,4,0.050172992,,,0,in,4,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,5,4,up,0.01,db,0.05023079,0.0010977,43.9230838,43.9230838,44.2225776,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,5,0.05023079,,,0,in,5,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,6,5,up,0.01,db,0.050288653,0.0011343,46.3541141,46.3541141,46.6536121,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,6,0.050288653,,6,0,in,6,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,7,6,down,0.01,db,0.05023079,0.0011886,48.751768,48.751768,49.0514024,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,7,0.05023079,,,1,cor,7,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,8,7,down,0.01,db,0.05023079,0.0012364,51.2495256,51.2495256,51.5490973,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,8,0.05023079,,,1,cor,8,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,9,8,down,0.01,db,0.05023079,0.0011783,53.7138465,53.7138465,54.0134595,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,9,0.05023079,,,1,cor,9,,,,,incorrect,50
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,10,9,down,0.01,db,0.050172992,0.0011597,56.2115309,56.2115309,56.511187,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,10,0.050172992,,,1,cor,10,,11,,,correct,50
