trials.thisN,num_distr,mouse.time,mouse.clicked_name,,,,,
0,5,2.1379246,['target'],,,,,
1,5,1.4416736,['target'],,,,,
3,5,1.2296696,['target'],,,,,
4,5,1.1368652,['target'],,,,,
5,5,1.0985455,['target'],,,,,
15,5,1.0866273,['target'],,,,,
17,5,1.273977,['target'],,MEAN RT,,,
19,5,1.1524705,['target'],,size (5),1.261355676,,
20,5,1.1125967,['target'],, size (10),1.314500333,,
23,5,1.2386587,['target'],,,,,
24,5,1.1979596,['target'],,slope,(y2-y1)/(x2-x1),,
25,5,1.0664858,['target'],,,x2 = 10,y2 = 1.314500333,
26,5,0.9695843,['target'],,,x1 = 5,y1 = 1.261355676,
29,5,1.221979,['target'],,,,,
30,5,1.2171701,['target'],,slope,0.010628931,,
32,5,1.0453861,['target'],,,,,
34,5,1.2913236,['target'],,,,,
35,5,1.3210098,['target'],,,,,
36,5,1.0752371,['target'],,,,,
40,5,0.9643152,['target'],,,,,
43,5,1.0476959,['target'],,,,,
44,5,1.1045718,['target'],,,,,
46,5,1.1827554,['target'],,,,,
48,5,1.0725067,['target'],,,,,
49,5,0.9335719,['target'],,,,,
52,5,1.2824734,['target'],,,,,
56,5,1.7420147,['target'],,,,,
57,5,1.5007236,['target'],,,,,
58,5,1.2130716,['target'],,,,,
59,5,1.4269761,['target'],,,,,
64,5,3.1419179,['target'],,,,,
66,5,1.3651063,['target'],,,,,
71,5,1.0543078,['target'],,,,,
72,5,0.9057195,['target'],,,,,
78,5,1.3533394,['target'],,,,,
79,5,1.303396,['target'],,,,,
80,5,1.2763643,['target'],,,,,
83,5,1.0062577,['target'],,,,,
84,5,1.2750705,['target'],,,,,
86,5,0.8286532,['target'],,,,,
87,5,0.9587709,['target'],,,,,
92,5,1.0030375,['target'],,,,,
94,5,1.2477819,['target'],,,,,
97,5,0.9291674,['target'],,,,,
102,5,1.267677,['target'],,,,,
103,5,1.4225515,['target'],,,,,
107,5,2.4636766,['target'],,,,,
108,5,1.3727892,['target'],,,,,
110,5,1.3876237,['target'],,,,,
111,5,1.3037017,['target'],,,,,
115,5,1.0687584,['target'],,,,,
117,5,1.0902753,['target'],,,,,
118,5,0.9483597,['target'],,,,,
119,5,1.053331,['target'],,,,,
121,5,1.1975415,['target'],,,,,
122,5,0.8905182,['target'],,,,,
123,5,0.93555,['target'],,,,,
124,5,0.9164728,['target'],,,,,
126,5,1.406175,['target'],,,,,
127,5,1.0390183,['target'],,,,,
132,5,1.0669208,['target'],,,,,
134,5,0.9743747,['target'],,,,,
136,5,0.8847125,['target'],,,,,
139,5,1.4818037,['target'],,,,,
140,5,1.1212429,['target'],,,,,
141,5,0.8218318,['target'],,,,,
146,5,1.0460656,['target'],,,,,
147,5,1.1802039,['target'],,,,,
149,5,0.865785,['target'],,,,,
152,5,0.9243934,['target'],,,,,
156,5,2.106471,['target'],,,,,
158,5,1.2242703,['target'],,,,,
159,5,1.1633825,['target'],,,,,
160,5,1.3206383,['target'],,,,,
161,5,0.898582,['target'],,,,,
162,5,0.7730139,['target'],,,,,
164,5,1.2723668,['target'],,,,,
165,5,0.9401257,['target'],,,,,
167,5,1.6420958,['target'],,,,,
168,5,1.071659,['target'],,,,,
171,5,1.0404996,['target'],,,,,
174,5,1.2432273,['target'],,,,,
176,5,0.9965069,['target'],,,,,
178,5,0.9700473,['target'],,,,,
179,5,1.1605756,['target'],,,,,
181,5,1.1472144,['target'],,,,,
184,5,1.7020655,['target'],,,,,
186,5,1.3532656,['target'],,,,,
187,5,0.9778393,['target'],,,,,
189,5,1.0711159,['target'],,,,,
190,5,1.1704747,['target'],,,,,
